reviews,labels
"expensive junk: this product consists of a piece of thin flexible insulating material, adhesive backed velcro and white electrical tape.problems:0. instructions are three pictures with little more information.0. velcro was all crumpled as received and was stronger than the adhesive. when i tried to disengage the velcro both pieces came off and the paint from the ceiling.0. white electrical tape was horrible... cheap, narrow and it fell off in less than 0 hour.0. the price is a ripoff.i am building my own which is easier to use, cheaper, more attractive, and higher r-value. i am surprised amazon even lists this junk.",negative
"toast too dark: even on the lowest setting, the toast is too dark for my liking. also, the on light stays lit so you have to unplug it to avoid wasting electricity. not the quality i expected from cuisinart.",negative
excellent imagery...dumbed down story: i enjoyed this disc. the video is stunning. i agree with others that the story is very dumbed down and takes a childish approach. it actually seems like its a little one sided and very pro-environmental. nevertheless its enjoyable. i would say however that the amazon wmv hd disc is a better story and has better and sharper images and more interesting things to look at.,positive
"are we pretending everyone is married?: the authors pretend that parents neither die nor divorce. insisting the marriage is the rock upon which all else (behavior, well-being of the child) is built, they send a clear message to non-traditional households: this book is for people who play the game of life our way only, and everyone else can suffer the bad behavior they deserve to.",negative
"not worth your time: might as well just use a knife, this product holds next to nothing. i found it to be a useless product.",negative
"book reads like written for grade schoolers: i think that the whole aspect of hitting the road and going on tour with a band is just about the coolest thing that a person can do. thus, this book seemed like the perfect read for someone like me. but when i got the book i was dissapointed in the fact that it seems like the author took five or six stories from the 'the babysiters club' or some other book for young kids, rewrote them to include drug and music references, and than sold it. the writing is just not very good and the stories are all lame. a girl's mother realizes her 00 year old daughter is right about being on tour, a girl runs from the cops and gets away, a ticket is fake, ect. those in themselves aren't even that bad but the way he writes makes it a boring read.",negative
"jeanne de florette & manon of the springs: i saw these movies originally in the theater, loved both and ordered them because i wanted to have it in my collection. i ordered it twice and neither of the dvds worked. i would think you would check your merchandise before sending it out. i am so disappointed and can't believe that you could send out two defective dvds and had not solved the problem after the first one plus some of the complaints i have read in the reviews. i am rating this with one star because of the quality of the dvd, not the films.colleen",negative
"theater projector ceiling mount: would not fit my new optima hd00 projector -- as projectors get smaller the mounting holes get closer together -- this mount had four arms and the projector had three -- the mount had arms that would not get short enough to reach the three projector holes -- for larger projectors may work better, but for mine would not recommend -- returning it was very easy and the company representatives very helpful -- so if you get it and it doesn't work, the company is easy to work with --",negative
"this import is sooooooooooo good: this is a great cd!!!!!!!!! it is the normal oops! cd plus three cool new songs. also there are lots of added extras that are inhansed on the cd, for example you get the lucky video, a fact file, and a britney unscrambler!!!!! the three bonus tracks are really nice but i wish that they could have been a little more up tempo. just to clear something up it says in the discription that there is an exclusive oops preformance but there isn't!",positive
"garbage: the handle broke clean off after two weeks. not the plastic part, actually at the weld where the metal meets the pan. wasn't overheated, wasn't abused, used 0 times and broke.",negative
"amazing, fascinating: this was a stunning book. well written, packed with fascinating detail, i wish i had ten more like it to turn to. anyone looking for an inside view of a part of china's history would do well to pick up this book. it was a wonderful read.",positive
"not great: this book just gives you the basics unfortunately. was not very helpful, i would suggest just doing research on the interweb instead.",negative
superficial fluff: this book does not convey much of anything. save your time and money. read searching for bobby fischer. the details and honesty are lacking in this made for mtv summary of kindergartener makes good.,negative
